,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains,RSI_14
0,1996-08-08 00:00:00-04:00,8.0,9.5,8.0,9.5,3600,0.0,0.0,0.0,
1,1996-08-09 00:00:00-04:00,9.5,9.899999618530272,9.5,9.899999618530272,2000,0.0,0.0,0.0,100.0
2,1996-08-12 00:00:00-04:00,10.0,10.0,10.0,10.0,650,0.0,0.0,0.0,100.0
3,1996-08-13 00:00:00-04:00,10.0,10.0,10.0,10.0,0,0.0,0.0,0.0,100.0
4,1996-08-14 00:00:00-04:00,10.0,10.0,9.800000190734863,9.800000190734863,750,0.0,0.0,0.0,71.42859089131788
5,1996-08-15 00:00:00-04:00,9.800000190734863,9.800000190734863,9.800000190734863,9.800000190734863,0,0.0,0.0,0.0,71.42859089131788
6,1996-08-16 00:00:00-04:00,8.600000381469727,8.600000381469727,8.600000381469727,8.600000381469727,800,0.0,0.0,0.0,26.315794757199484
7,1996-08-19 00:00:00-04:00,9.300000190734863,9.800000190734863,9.0,9.800000190734863,1650,0.0,0.0,0.0,54.83871364692817
8,1996-08-20 00:00:00-04:00,9.899999618530272,9.899999618530272,9.100000381469728,9.100000381469728,1310,0.0,0.0,0.0,44.73684606789964
9,1996-08-21 00:00:00-04:00,9.100000381469728,9.100000381469728,9.100000381469728,9.100000381469728,0,0.0,0.0,0.0,44.736846067899634
10,1996-08-22 00:00:00-04:00,9.0,9.0,8.5,8.5,200,0.0,0.0,0.0,38.63636265116281
11,1996-08-23 00:00:00-04:00,8.5,9.0,8.5,9.0,700,0.0,0.0,0.0,44.89795878647464
12,1996-08-26 00:00:00-04:00,9.0,9.0,9.0,9.0,0,0.0,0.0,0.0,44.89795878647464
13,1996-08-27 00:00:00-04:00,8.199999809265137,8.199999809265137,7.599999904632568,7.599999904632568,1200,0.0,0.0,0.0,34.920633478950336
14,1996-08-28 00:00:00-04:00,8.899999618530273,8.899999618530273,8.899999618530273,8.899999618530273,400,0.0,0.0,0.0,46.05262877208023
15,1996-08-29 00:00:00-04:00,8.899999618530273,8.899999618530273,8.899999618530273,8.899999618530273,700,0.0,0.0,0.0,43.055555371590614
16,1996-08-30 00:00:00-04:00,9.0,9.300000190734863,9.0,9.300000190734863,1450,0.0,0.0,0.0,45.33333460489909
17,1996-09-03 00:00:00-04:00,9.199999809265137,9.5,9.199999809265137,9.5,500,0.0,0.0,0.0,46.7532466728222
18,1996-09-04 00:00:00-04:00,9.0,9.0,9.0,9.0,100,0.0,0.0,0.0,44.999998807907104
19,1996-09-05 00:00:00-04:00,8.5,8.5,8.5,8.5,400,0.0,0.0,0.0,42.3529400545008
20,1996-09-06 00:00:00-04:00,8.5,8.5,8.5,8.5,0,0.0,0.0,0.0,49.31506589824034
21,1996-09-09 00:00:00-04:00,8.0,8.0,7.5,7.5,700,0.0,0.0,0.0,33.802816428449574
22,1996-09-10 00:00:00-04:00,7.5,7.5,7.5,7.5,0,0.0,0.0,0.0,37.499998137355014
23,1996-09-11 00:00:00-04:00,7.5,7.5,7.5,7.5,0,0.0,0.0,0.0,37.499998137355014
24,1996-09-12 00:00:00-04:00,7.5,7.5,7.5,7.5,0,0.0,0.0,0.0,41.37931062832172
25,1996-09-13 00:00:00-04:00,7.199999809265137,7.199999809265137,7.199999809265137,7.199999809265137,10,0.0,0.0,0.0,33.928570820360804
26,1996-09-16 00:00:00-04:00,7.699999809265137,7.699999809265137,7.699999809265137,7.699999809265137,200,0.0,0.0,0.0,39.344261398048936
27,1996-09-17 00:00:00-04:00,7.699999809265137,7.699999809265137,7.699999809265137,7.699999809265137,150,0.0,0.0,0.0,51.063828707928636
28,1996-09-18 00:00:00-04:00,7.5,7.5,7.099999904632568,7.099999904632568,550,0.0,0.0,0.0,27.500006258486962
29,1996-09-19 00:00:00-04:00,7.199999809265137,7.800000190734863,7.199999809265137,7.199999809265137,1110,0.0,0.0,0.0,29.268296937868357
30,1996-09-20 00:00:00-04:00,7.0,7.0,7.0,7.0,200,0.0,0.0,0.0,20.512815183279102
31,1996-09-23 00:00:00-04:00,7.0,7.0,7.0,7.0,0,0.0,0.0,0.0,16.216214474663317
32,1996-09-24 00:00:00-04:00,6.699999809265137,6.699999809265137,6.5,6.5,1450,0.0,0.0,0.0,16.216214474663317
33,1996-09-25 00:00:00-04:00,7.099999904632568,7.099999904632568,7.0,7.0,700,0.0,0.0,0.0,29.72972868479799
34,1996-09-26 00:00:00-04:00,7.0,7.0,7.0,7.0,500,0.0,0.0,0.0,29.72972868479799
35,1996-09-27 00:00:00-04:00,7.0,7.0,7.0,7.0,0,0.0,0.0,0.0,40.740740086643086
36,1996-09-30 00:00:00-04:00,7.0,7.599999904632568,7.0,7.0,1070,0.0,0.0,0.0,40.740740086643086
37,1996-10-01 00:00:00-04:00,7.0,7.0,7.0,7.0,0,0.0,0.0,0.0,40.740740086643086
38,1996-10-02 00:00:00-04:00,7.0,8.0,7.0,8.0,610,0.0,0.0,0.0,56.75675710506733
39,1996-10-03 00:00:00-04:00,7.800000190734863,7.800000190734863,7.800000190734863,7.800000190734863,100,0.0,0.0,0.0,58.3333399560727
40,1996-10-04 00:00:00-04:00,6.599999904632568,6.599999904632568,6.599999904632568,6.599999904632568,150,0.0,0.0,0.0,37.20930258347063
41,1996-10-07 00:00:00-04:00,7.0,7.0,7.0,7.0,200,0.0,0.0,0.0,42.55319321625053
42,1996-10-08 00:00:00-04:00,7.0,7.0,7.0,7.0,200,0.0,0.0,0.0,48.78048893952925
43,1996-10-09 00:00:00-04:00,7.0,7.0,7.0,7.0,0,0.0,0.0,0.0,47.500002384185784
44,1996-10-10 00:00:00-04:00,7.0,7.0,7.0,7.0,0,0.0,0.0,0.0,50.0
45,1996-10-11 00:00:00-04:00,7.0,7.0,7.0,7.0,700,0.0,0.0,0.0,50.0
46,1996-10-15 00:00:00-04:00,7.0,7.0,7.0,7.0,0,0.0,0.0,0.0,57.575757137890605
47,1996-10-16 00:00:00-04:00,7.0,7.0,7.0,7.0,0,0.0,0.0,0.0,50.0
48,1996-10-17 00:00:00-04:00,6.599999904632568,6.599999904632568,6.599999904632568,6.599999904632568,1300,0.0,0.0,0.0,43.74999906867751
49,1996-10-18 00:00:00-04:00,6.599999904632568,6.599999904632568,6.599999904632568,6.599999904632568,0,0.0,0.0,0.0,43.74999906867751
50,1996-10-21 00:00:00-04:00,6.0,6.0,6.0,6.0,500,0.0,0.0,0.0,36.84210592359713
51,1996-10-22 00:00:00-04:00,6.0,6.0,6.0,6.0,400,0.0,0.0,0.0,36.84210592359713
52,1996-10-23 00:00:00-04:00,6.5,6.5,6.5,6.5,400,0.0,0.0,0.0,27.272728586328185
53,1996-10-24 00:00:00-04:00,6.5,6.5,6.5,6.5,0,0.0,0.0,0.0,29.03225756832768
54,1996-10-25 00:00:00-04:00,6.0,6.300000190734863,6.0,6.300000190734863,1200,0.0,0.0,0.0,42.85714934472354
55,1996-10-28 00:00:00-05:00,6.0,6.0,6.0,6.0,1250,0.0,0.0,0.0,25.0
56,1996-10-29 00:00:00-05:00,6.0,6.5,6.0,6.5,1800,0.0,0.0,0.0,39.99999999999999
