Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
1993-01-29 00:00:00-05:00,24.626122264400824,24.626122264400824,24.5036042431849,24.608619689941406,1003200,0.0,0.0,0.0
1993-02-01 00:00:00-05:00,24.626139515537325,24.783662796020508,24.626139515537325,24.783662796020508,480500,0.0,0.0,0.0
1993-02-02 00:00:00-05:00,24.766148438833397,24.85366133084341,24.71364070362739,24.836158752441406,201300,0.0,0.0,0.0
1993-02-03 00:00:00-05:00,24.87116792112215,25.11620405827606,24.85366533989687,25.09870147705078,529400,0.0,0.0,0.0
1993-02-04 00:00:00-05:00,25.186209885279336,25.25622019767761,24.90616863568624,25.203712463378906,531500,0.0,0.0,0.0
1993-02-05 00:00:00-05:00,25.186222076416016,25.238729836130574,25.04620138384386,25.186222076416016,492100,0.0,0.0,0.0
1993-02-08 00:00:00-05:00,25.186222076416016,25.27373500927361,25.151216903272978,25.186222076416016,596100,0.0,0.0,0.0
1993-02-09 00:00:00-05:00,25.098691842871332,25.098691842871332,24.958671246816262,25.011178970336914,122100,0.0,0.0,0.0
1993-02-10 00:00:00-05:00,25.01117558082778,25.063683297232597,24.941165292288023,25.046180725097656,379600,0.0,0.0,0.0
1993-02-11 00:00:00-05:00,25.081205409160077,25.273733852635836,25.081205409160077,25.168718338012695,19500,0.0,0.0,0.0
1993-02-12 00:00:00-05:00,25.13370424630179,25.13370424630179,24.976181030273434,24.976181030273438,42500,0.0,0.0,0.0
1993-02-16 00:00:00-05:00,24.90617486335321,24.90617486335321,24.311087059169086,24.346092224121094,374800,0.0,0.0,0.0
1993-02-17 00:00:00-05:00,24.346087249920526,24.381092407720555,24.241071776520435,24.328584671020508,210900,0.0,0.0,0.0
1993-02-18 00:00:00-05:00,24.6086324824971,24.6086324824971,23.978539474410404,24.31108856201172,378100,0.0,0.0,0.0
1993-02-19 00:00:00-05:00,24.31106770842455,24.398580551147457,24.276062571335384,24.39858055114746,34900,0.0,0.0,0.0
1993-02-22 00:00:00-05:00,24.468604294379496,24.52111202891679,24.3985939816631,24.486106872558594,513600,0.0,0.0,0.0
1993-02-23 00:00:00-05:00,24.556112192560505,24.573614767181006,24.346081297114512,24.468599319458008,373700,0.0,0.0,0.0
1993-02-24 00:00:00-05:00,24.486118821774497,24.783662796020508,24.486118821774497,24.783662796020508,26300,0.0,0.0,0.0
1993-02-25 00:00:00-05:00,24.766148438833397,24.85366133084341,24.71364070362739,24.836158752441406,44500,0.0,0.0,0.0
1993-02-26 00:00:00-05:00,24.88865926582825,24.88865926582825,24.74863867924131,24.871156692504883,66200,0.0,0.0,0.0
